,rooms,age,direction,priceNum,priceLbl,area,location,gfa,cfa
281,,24 年,,828,万,马鞍山,雅景台 2座 16楼 C室,656,882
282,2房,21 年,,708,万,马鞍山,迎涛湾 1座 (A座) 36楼 E室,487,664
283,2房,35 年,东南,558,万,沙田,伟华中心 2座 21楼 G室,297,404
284,,44 年,,310,万,深水埗,福昇大厦 14楼 C室,207,262
285,,49 年,,536,万,荃湾市中心,昌泰大楼 七楼 F室,435,552
286,2房,22 年,东北,585,万,粉岭,牵晴间 3座 23楼 B室,439,602
287,,32 年,南,"1,325",万,坚尼地城,西宁阁 21楼 D室,691,850
288,1房,3 年,,830,万,启德新区,龙誉 1B座 36楼 G室,,
289,,46 年,,380,万,元朗市中心,远东发展元朗大厦 18楼 H室,313,420
290,1房,3 年,东北,830,万,启德新区,OASIS KAI TAK 5座 8楼 D室,365,
291,2房,21 年,,985,万,坚尼地城,加惠台 2座 32楼 F室,464,588
292,2房,3 年,,998,万,启德新区,天寰 天海汇3座 3楼 H室,475,
293,,34 年,,958,万,沙田,沙田广场 宝星阁 (D座) 27楼 3室,612,774
294,3房,30 年,,"1,118",万,沙田,新城市广场 3期 蕙兰阁 (3座) 9楼 H室,645,758
295,,57 年,,420,万,深水埗,恒顺大楼 八楼 C室 (33B号),389,
296,2房,20 年,西北,600,万,元朗站,采叶庭 16座 5楼 C室,509,673
297,2房,4 年,东南,"1,155",万,启德新区,启德1号 II 大厦第3座 16楼 A室,547,
298,,37 年,东,630,万,坚尼地城,美菲阁 1座 6楼 J室,330,420
299,,28 年,东南,630,万,马鞍山,马鞍山中心 2座 24楼 F室,375,506
300,2房,23 年,西南,660,万,坑口,新宝城 5座 6楼 E室,436,606
301,2房,17 年,,946,万,坑口,蔚蓝湾畔 3座 20楼 D室,566,757
302,,37 年,,590,万,坚尼地城,南海大厦 14楼 2室,316,394
303,2房,4 年,西北,"1,320",万,启德新区,启德1号 II 大厦第5座 27楼 E室,563,
304,2房,35 年,东南,550,万,沙田,伟华中心 2座 16楼 G室,297,404
305,3房,6 年,东南,"1,598",万,坚尼地城,浚峰 9楼 C室,658,
306,3房,28 年,南,970,万,何文田,皇子花园 13楼 A室,527,747
307,,31 年,西北,516.8,万,元朗市中心,钜发大厦 2座 18楼 B室,452,561
308,2房,8 年,东北,576,万,元朗东南,尚悦 1座 20楼 J室,403,545
309,2房,11 年,,783,万,元朗站,YOHO TOWN 2期 YOHO MIDTOWN 6座 19楼 B室,475,615
310,,48 年,,340,万,大角咀,荔塘大厦 B座 十二楼 B4室,226,291
311,,48 年,,500,万,坚尼地城,安发大厦 4楼 E室,319,411
312,3房,11 年,南,"1,700",万,坚尼地城,宝雅山 12楼 A室,717,972
313,2房,21 年,,693,万,马鞍山,迎涛湾 1座 (A座) 29楼 E室,487,664
314,2房,18 年,西南,692,万,元朗站,YOHO TOWN 1期 3座 30楼 E室,433,580
315,,30 年,,490,万,粉岭,粉岭中心 2期 L座 14楼 5室,365,469
316,,25 年,东,708,万,马鞍山,新港城 5期 海涛居 4座 25楼 C室,404,529
317,3房,29 年,,"1,410",万,跑马地,汇翠台 2座 27楼 B室,643,887
318,,28 年,东南,668,万,元朗站,新元朗中心 4座 16楼 F室,466,576
319,3房,25 年,东南,850,万,愉景新城,愉景新城 1期 4座 32楼 D室,590,748
320,2房,13 年,东北,780,万,大角咀,亮贤居 8楼 D室,555,779
321,2房,22 年,,565,万,粉岭,牵晴间 4座 26楼 A室,410,544
322,2房,3 年,北,"1,128",万,启德新区,龙誉 2A座 17楼 E室,525,
323,3房,33 年,,"3,100",万,跑马地,比华利山 K座 29楼 2室,"1,083","1,385"
324,2房,20 年,西南,669,万,元朗站,采叶庭 12座 16楼 C室,509,673
325,3房,17 年,东北,"1,043",万,坑口,蔚蓝湾畔 2座 35楼 D室,653,877
326,2房,39 年,西北,638.5,万,沙田,好运中心 棕林阁 (B1座) 10楼 C室,443,570
